,State,Bill Name,Issues,Status,Status Detail,Status Date,Month,Day,Year
0,Wyoming,H.B.0032,Re-definition of sex | Weakening Civil Rights Laws,Passed into Law,Became law without Governor's signature,03/14/2025,3,14,2025
1,Wyoming,H.B.0164,Healthcare age restrictions | Healthcare restrictions | ,Passed into Law,Governor signed,03/19/2025,3,19,2025
2,Wisconsin,A.B.100,Restricting student & educator rights | School facilities bans | School sports bans,Advancing,House passed; Senate first read and referred to committee,03/21/2025,3,21,2025
3,Wisconsin,A.B.102,Restricting student & educator rights | School facilities bans | School sports bans,Advancing,House passed; Senate first read and referred to committee,03/21/2025,3,21,2025
4,Wisconsin,A.B.103,Other school restrictions | Restricting student & educator rights,Advancing,House passed; Senate first read and referred to committee,03/21/2025,3,21,2025
5,Wisconsin,A.B.104,Healthcare age restrictions | Healthcare restrictions | ,Advancing,House passed; Senate first read and referred to committee,03/27/2025,3,27,2025
6,West Virginia,S.B.154,Forced outing in schools | Restricting student & educator rights,Advancing,Senate passed; House markup discussion,04/02/2025,4,2,2025
7,West Virginia,S.B.663,Other anti-LGBTQ bills,Advancing,Senate passed; House referred to committee,04/01/2025,4,1,2025
8,West Virginia,S.B.474,Other school restrictions | Recruitment and Retention | Restricting student & educator rights | Undermining Employment Equity,Advancing,Referred to committee as amended,04/04/2025,4,4,2025
9,West Virginia,S.B.456,Other civil rights restrictions | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws,Passed into Law,Governor signed,03/18/2025,3,18,2025
10,Utah,H.B.283,Healthcare age restrictions | Healthcare restrictions | Other anti-LGBTQ bills,Passed into Law,Governor signed,03/19/2025,3,19,2025
11,Utah,H.B.252,Healthcare restrictions | Other anti-LGBTQ bills | Prison healthcare restrictions,Passed into Law,Governor signed,03/19/2025,3,19,2025
12,Utah,S.B.74,Barriers to accurate IDs | ,Passed into Law,Governor signed,03/25/2025,3,25,2025
13,Utah,H.B.77,Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights,Passed into Law,Became law without Governor's signature,03/27/2025,3,27,2025
